ensembl_gene_id	gene_symbol	entrez_gene_id	hgnc_id	gene_biotype	synonyms	chromosome	description
ENSG00000081760	AACS	65985	HGNC:21298	protein_coding	ACSF1|FLJ12389|SUR-5|SUR5	12	acetoacetyl-CoA synthetase
ENSG00000081791	DELE1	9812	HGNC:28969	protein_coding	DELE|KIAA0141	5	DAP3 binding cell death enhancer 1
ENSG00000081800	SLC13A1	6561	HGNC:10916	protein_coding	NAS1|NaSi-1|NaSi1	7	solute carrier family 13 member 1
ENSG00000081803	CADPS2	93664	HGNC:16018	protein_coding	CAPS2	7	calcium dependent secretion activator 2
ENSG00000081818	PCDHB4	56131	HGNC:8689	protein_coding	PCDH-BETA4|PCDHBETA4	5	protocadherin beta 4
ENSG00000081842	PCDHA6	56142	HGNC:8672	protein_coding	CNR2|CNRS2|CRNR2|PCDH-ALPHA6|PCDHALPHA6	5	protocadherin alpha 6
ENSG00000081853	PCDHGA2	56113	HGNC:8700	protein_coding	PCDH-GAMMA-A2|PCDHGAMMAA2	5	protocadherin gamma subfamily A, 2
ENSG00000081870	IFT25	51668	HGNC:25019	protein_coding	C1orf41|CFAP232|FAP232|HSPB11|HSPCO34|PP25	1	intraflagellar transport 25
ENSG00000081913	PHLPP1	23239	HGNC:20610	protein_coding	KIAA0606|PHLPP|PLEKHE1|PPM3A|SCOP	18	PH domain and leucine rich repeat protein phosphatase 1
ENSG00000081923	ATP8B1	5205	HGNC:3706	protein_coding	ATPIC|BRIC|FIC1|PFIC|PFIC1	18	ATPase phospholipid transporting 8B1
ENSG00000081985	IL12RB2	3595	HGNC:5972	protein_coding		1	interleukin 12 receptor subunit beta 2
ENSG00000082014	SMARCD3	6604	HGNC:11108	protein_coding	BAF60C|CRACD3|Rsc6p	7	SWI/SNF related BAF chromatin remodeling complex subunit D3
ENSG00000082068	WDR70	55100	HGNC:25495	protein_coding	FLJ10233	5	WD repeat domain 70
ENSG00000082074	FYB1	2533	HGNC:4036	protein_coding	ADAP|FYB|FYB-120/130|FYB120/130|SLAP-130|SLAP130	5	FYN binding protein 1
ENSG00000082126	MPP4	58538	HGNC:13680	protein_coding	DLG6	2	MAGUK p55 scaffold protein 4
ENSG00000082146	STRADB	55437	HGNC:13205	protein_coding	ALS2CR2|CALS-21|CALS21|ILPIP|ILPIPA|PAPK|STLK6	2	STE20 related adaptor beta
ENSG00000082153	BZW1	9689	HGNC:18380	protein_coding	5MP2|BZAP45|KIAA0005	2	basic leucine zipper and W2 domains 1
ENSG00000082175	PGR	5241	HGNC:8910	protein_coding	NR3C3|PR	11	progesterone receptor
ENSG00000082196	C1QTNF3	114899	HGNC:14326	protein_coding	2310005P21Rik|CTRP3|Corcs|Cors|Cors-26|Cors26	5	C1q and TNF related 3
ENSG00000082212	ME2	4200	HGNC:6984	protein_coding		18	malic enzyme 2
ENSG00000082213	C5orf22	55322	HGNC:25639	protein_coding	FLJ11193	5	chromosome 5 open reading frame 22
ENSG00000082258	CCNT2	905	HGNC:1600	protein_coding		2	cyclin T2
ENSG00000082269	FAM135A	57579	HGNC:21084	protein_coding	FLJ20176|KIAA1411	6	family with sequence similarity 135 member A
ENSG00000082293	COL19A1	1310	HGNC:2196	protein_coding		6	collagen type XIX alpha 1 chain
ENSG00000082397	EPB41L3	23136	HGNC:3380	protein_coding	4.1B|DAL1|KIAA0987	18	erythrocyte membrane protein band 4.1 like 3
ENSG00000082438	COBLL1	22837	HGNC:23571	protein_coding	KIAA0977	2	cordon-bleu WH2 repeat protein like 1
ENSG00000082458	DLG3	1741	HGNC:2902	protein_coding	KIAA1232|MRX90|NE-Dlg|NEDLG|NEDlg|PPP1R82|SAP-102|SAP102	X	discs large MAGUK scaffold protein 3
ENSG00000082482	KCNK2	3776	HGNC:6277	protein_coding	K2p2.1|TREK-1|TREK1	1	potassium two pore domain channel subfamily K member 2
ENSG00000082497	SERTAD4	56256	HGNC:25236	protein_coding	DJ667H12.2	1	SERTA domain containing 4
ENSG00000082512	TRAF5	7188	HGNC:12035	protein_coding	RNF84	1	TNF receptor associated factor 5
ENSG00000082515	MRPL22	29093	HGNC:14480	protein_coding	HSPC158|MRP-L25|MRPL25|RPML25|uL22m	5	mitochondrial ribosomal protein L22
ENSG00000082516	GEMIN5	25929	HGNC:20043	protein_coding		5	gem nuclear organelle associated protein 5
ENSG00000082556	OPRK1	4986	HGNC:8154	protein_coding	KOR|OPRK	8	opioid receptor kappa 1
ENSG00000082641	NFE2L1	4779	HGNC:7781	protein_coding	FLJ00380|LCR-F1|LCRF1|NRF-1|NRF1|TCF11	17	NFE2 like bZIP transcription factor 1
ENSG00000082684	SEMA5B	54437	HGNC:10737	protein_coding	FLJ10372|KIAA1445|SEMAG|SemG	3	semaphorin 5B
ENSG00000082701	GSK3B	2932	HGNC:4617	protein_coding		3	glycogen synthase kinase 3 beta
ENSG00000082781	ITGB5	3693	HGNC:6160	protein_coding		3	integrin subunit beta 5
ENSG00000082805	ERC1	23085	HGNC:17072	protein_coding	CAST2|ELKS|KIAA1081|MGC12974|RAB6IP2	12	ELKS/RAB6-interacting/CAST family member 1
ENSG00000082898	XPO1	7514	HGNC:12825	protein_coding	CRM-1|CRM1|emb	2	exportin 1
ENSG00000082929	LINC01587	10141	HGNC:13716	lncRNA	C4orf6|aC1	4	long independently transcribed non-coding RNA 1587
ENSG00000082996	RNF13	11342	HGNC:10057	protein_coding	RZF	3	ring finger protein 13
ENSG00000083067	TRPM3	80036	HGNC:17992	protein_coding	GON-2|GON2|KIAA1616|LTRPC3	9	transient receptor potential cation channel subfamily M member 3
ENSG00000083093	PALB2	79728	HGNC:26144	protein_coding	FANCN|FLJ21816	16	partner and localizer of BRCA2
ENSG00000083097	DOP1A	23033	HGNC:21194	protein_coding	DOPEY1|KIAA1117|dJ202D23.2	6	DOP1 leucine zipper like protein A
ENSG00000083099	LYRM2	57226	HGNC:25229	protein_coding	DJ122O8.2	6	LYR motif containing 2
ENSG00000083123	BCKDHB	594	HGNC:987	protein_coding	OVD1B	6	branched chain keto acid dehydrogenase E1 subunit beta
ENSG00000083168	KAT6A	7994	HGNC:13013	protein_coding	MOZ|MYST3|RUNXBP2|ZNF220	8	lysine acetyltransferase 6A
ENSG00000083223	TUT7	79670	HGNC:25817	protein_coding	FLJ13409|KIAA1711|PAPD6|TENT3B|ZCCHC6	9	terminal uridylyl transferase 7
ENSG00000083290	ULK2	9706	HGNC:13480	protein_coding	ATG1B|KIAA0623|Unc51.2	17	unc-51 like autophagy activating kinase 2
ENSG00000083307	GRHL2	79977	HGNC:2799	protein_coding	BOM|DFNA28|FLJ13782|TFCP2L3	8	grainyhead like transcription factor 2
ENSG00000083312	TNPO1	3842	HGNC:6401	protein_coding	IPO2|KPNB2|MIP|MIP1|TRN	5	transportin 1
ENSG00000083444	PLOD1	5351	HGNC:9081	protein_coding	LH1|LLH|PLOD	1	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1
ENSG00000083454	P2RX5	5026	HGNC:8536	protein_coding	LRH-1|LRH1|P2X5	17	purinergic receptor P2X 5
ENSG00000083457	ITGAE	3682	HGNC:6147	protein_coding	CD103|HUMINAE	17	integrin subunit alpha E
ENSG00000083520	DIS3	22894	HGNC:20604	protein_coding	EXOSC11|KIAA1008|RRP44|dis3p	13	DIS3 exosome endoribonuclease and 3'-5' exoribonuclease
ENSG00000083535	PIBF1	10464	HGNC:23352	protein_coding	C13orf24|CEP90|PIBF	13	progesterone immunomodulatory binding factor 1
ENSG00000083544	TDRD3	81550	HGNC:20612	protein_coding	FLJ21007	13	tudor domain containing 3
ENSG00000083622	CFTR-AS2		HGNC:40145	lncRNA	lnc-CTTNBP2-1:1|lncCTTNBP21:1	7	CFTR antisense RNA 2
ENSG00000083635	NUFIP1	26747	HGNC:8057	protein_coding	NUFIP|Rsa1	13	nuclear FMR1 interacting protein 1
ENSG00000083642	PDS5B	23047	HGNC:20418	protein_coding	APRIN|AS3|CG008|FLJ23236|KIAA0979	13	PDS5 cohesin associated factor B
ENSG00000083720	OXCT1	5019	HGNC:8527	protein_coding	OXCT|SCOT	5	3-oxoacid CoA-transferase 1
ENSG00000083750	RRAGB	10325	HGNC:19901	protein_coding		X	Ras related GTP binding B
ENSG00000083782	EPYC	1833	HGNC:3053	protein_coding	DSPG3|Pg-Lb|PgLb|SLRR3B	12	epiphycan
ENSG00000083799	CYLD	1540	HGNC:2584	protein_coding	CYLD1|KIAA0849|USPL2	16	CYLD lysine 63 deubiquitinase
ENSG00000083807	SLC27A5	10998	HGNC:10999	protein_coding	ACSB|ACSVL6|FACVL3|FATP5|FLJ22987|VLACSR|VLCS-H2|VLCSH2	19	solute carrier family 27 member 5
ENSG00000083812	ZNF324	25799	HGNC:14096	protein_coding	ZF5128|ZNF324A	19	zinc finger protein 324
ENSG00000083814	ZNF671	79891	HGNC:26279	protein_coding	FLJ23506	19	zinc finger protein 671
ENSG00000083817	ZNF416	55659	HGNC:20645	protein_coding	FLJ20557	19	zinc finger protein 416
ENSG00000083828	ZNF586	54807	HGNC:25949	protein_coding	FLJ20070	19	zinc finger protein 586
ENSG00000083838	ZNF446	55663	HGNC:21036	protein_coding	FLJ20626|ZKSCAN20|ZSCAN52	19	zinc finger protein 446
ENSG00000083844	ZNF264	9422	HGNC:13057	protein_coding	KIAA0412	19	zinc finger protein 264
ENSG00000083845	RPS5	6193	HGNC:10426	protein_coding	S5|uS7	19	ribosomal protein S5
ENSG00000083857	FAT1	2195	HGNC:3595	protein_coding	CDHF7|CDHR8|FAT	4	FAT atypical cadherin 1
ENSG00000083896	YTHDC1	91746	HGNC:30626	protein_coding	KIAA1966|YT521|YT521-B|YT521B	4	YTH N6-methyladenosine RNA binding protein C1
ENSG00000083937	CHMP2B	25978	HGNC:24537	protein_coding	CHMP2.5|DKFZP564O123|VPS2B	3	charged multivesicular body protein 2B
ENSG00000084070	SMAP2	64744	HGNC:25082	protein_coding	SMAP1L	1	small ArfGAP2
ENSG00000084072	PPIE	10450	HGNC:9258	protein_coding	CyP-33|CyP33|CypE|MGC111222|MGC3736	1	peptidylprolyl isomerase E
ENSG00000084073	ZMPSTE24	10269	HGNC:12877	protein_coding	FACE-1|FACE1|HGPS|PRO1|STE24|Ste24p	1	zinc metallopeptidase STE24
ENSG00000084090	STARD7	56910	HGNC:18063	protein_coding	GTT1	2	StAR related lipid transfer domain containing 7
ENSG00000084092	NOA1	84273	HGNC:28473	protein_coding	C4orf14|MGC3232|MTG3|hAtNOS1|hNOA1	4	nitric oxide associated 1
ENSG00000084093	REST	5978	HGNC:9966	protein_coding	DFNA27|NRSF|XBR	4	RE1 silencing transcription factor
ENSG00000084110	HAL	3034	HGNC:4806	protein_coding	HIS	12	histidine ammonia-lyase
ENSG00000084112	SSH1	54434	HGNC:30579	protein_coding	KIAA1298|SSH1L	12	slingshot protein phosphatase 1
ENSG00000084207	GSTP1	2950	HGNC:4638	protein_coding	FAEES3|GST3|GSTP	11	glutathione S-transferase pi 1
ENSG00000084234	APLP2	334	HGNC:598	protein_coding	APPH|APPL2	11	amyloid beta precursor like protein 2
ENSG00000084444	FAM234B	57613	HGNC:29288	protein_coding	KIAA1467	12	family with sequence similarity 234 member B
ENSG00000084453	SLCO1A2	6579	HGNC:10956	protein_coding	OATP|OATP-A|OATP1A2|OATPA|SLC21A3	12	solute carrier organic anion transporter family member 1A2
